Classe,Número,Link,Url,Relator Atual,Classificação STF,Meio Processo,Data Autuação,Legislação,Data Andamento Atual,Andamento Atual,Observação Andamento Atual,Data Localização Atual,Localização Atual,Sem nenhuma decisão,Indicador de Tutela Antecipada,Indicador de Tutela Provisória,Sem decisão final,Recurso interno pendente,Em mesa/pauta,Acórdão pendente de publicação,Procedência,Órgão Origem,Ramo Direito Novo,Classificação,Origem:,Relator:,Redator do acórdão:,Relator do último incidente:,REQTE.(S),ADV.(A/S),INTDO.(A/S),PROC.(A/S)(ES)
ADI,6056,ADI-6056,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5616164,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,8/1/2019,"1 - Resolução nº 30 de 2018 - Resolução nº 30 de 2018, Art. 1º, 2º, 3º e 6º, parágrafo único, DA CÂMARA DOS DEPUTADOS.",2/10/2020,Conclusos ao(à) Relator(a),,2/10/2020,GABINETE MINISTRO RICARDO LEWANDOWSKI,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6057,ADI-6057,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5616484,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,8/1/2019,"1 - Medida Provisória nº 870 de 2019 - Medida Provisória nº 870 de 2019, artigos 23, XXIV; 24, XV; 31, XXXI, XXXII, XXXIII, XXXIV, XXXV, XXXVI e XXXVI; 32, XXVIII, XXIX, XXX; 37, VI e XXII; 38, VIII; 55, § 2º; 56, I, “ai”; 57, I, e, por fim, 83.",7/8/2020,Conclusos ao(à) Relator(a),,7/8/2020,GABINETE MINISTRO RICARDO LEWANDOWSKI,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,563,ADPF-563,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5618287,MIN. EDSON FACHIN,Originária,Eletrônico,14/1/2019,"1 - Decreto-Lei nº 3688 de 1941 - Decreto-Lei nº 3688 de 1941, Art. 50 .(Lei de Contravenções Penais)2 - Decreto-Lei nº 9215 de 1946 - Decreto-Lei nº 9215 de 1946.",6/10/2020,Conclusos ao(à) Relator(a),,15/4/2020,GABINETE MINISTRO EDSON FACHIN,Sim,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6060,ADI-6060,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5620276,MIN. MARCO AURÉLIO,Originária,Eletrônico,21/1/2019,"1 - Decreto nº 1704 de 2018 - Decreto nº 1704 de 2018, DO ESTADO DE SANTA CATARINA.",13/3/2020,Petição,Manifestação - Petição: 14008 Data: 13/03/2020 às 19:14:58,21/11/2019,GABINETE MINISTRO MARCO AURÉLIO,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADPF,564,ADPF-564,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5620146,MIN. RICARDO LEWANDOWSKI,Originária,Eletrônico,21/1/2019,"1 - Resolução nº 05 de 2018 - Resolução nº 05 de 2018,  do Órgão Especial do Tribunal de Justiça do Estado do Rio Grande do Sul.2 - Instrução Normativa nº 05 de 2018 - Instrução normativa nº 05 de 2018 - PGJ.",4/7/2019,Conclusos ao(à) Relator(a),,4/7/2019,GABINETE MINISTRO RICARDO LEWANDOWSKI,Não,Não,Não,Não,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6061,ADI-6061,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5621736,MIN. NUNES MARQUES,Originária,Eletrônico,25/1/2019,"1 - Emenda Constitucional nº 88 de 2016 - Emenda Constitucional nº 88 de 2016, DO ESTADO DO CEARÁ.",5/11/2020,Conclusos ao(à) Relator(a),,5/11/2020,GABINETE MINISTRO NUNES MARQUES,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6062,ADI-6062,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5623726,MIN. ROBERTO BARROSO,Originária,Eletrônico,31/1/2019,"1 - Medida Provisória nº 870 de 2019 - Medida Provisória nº 870 de 2019, Art. 21, XIV e §2º, I2 - Decreto nº 9667 de 2019 - POR ARRASTAMENTO, Decreto nº 9667 de 2019, ANEXO I, ART. 1º, XIV, §2º, I; ART. 11, I, F; ART. 11, I, G; ART. 14, I, II E III.",6/7/2020,Conclusos ao(à) Relator(a),,7/7/2020,GABINETE MINISTRO ROBERTO BARROSO,Não,Não,Não,Sim,Sim,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,Em tramitação,,,,,,,,
ADI,6063,ADI-6063,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5623961,MIN. NUNES MARQUES,Originária,Eletrônico,1/2/2019,"1 - Emenda Constitucional nº 97 de 2017 - Emenda Constitucional nº 97 de 2017, Art. 1º.",11/11/2020,Conclusos ao(à) Relator(a),,11/11/2020,GABINETE MINISTRO NUNES MARQUES,Não,Não,Não,Sim,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO ELEITORAL,Em tramitação,,,,,,,,
ADI,6064,ADI-6064,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624176,MIN. ROSA WEBER,Originária,Eletrônico,1/2/2019,"1 - Lei Estadual nº 7871 de 2018 - Lei Estadual nº 7871 de 2018, do Estado do Rio de Janeiro.",9/12/2020,Petição,"PROCURADOR-GERAL DA REPÚBLICA - Petição: 105023 - Data: 09/12/2020, às 13:03:00, via Web Service MNI 2.2.2.",3/12/2020,CONTROLE CONCENTRADO E RECLAMAÇÕES,Não,Não,Não,Não,Não,Não,Não,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO DO CONSUMIDOR,Em tramitação,,,,,,,,
ADI,6065,ADI-6065,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624177,MIN. MARCO AURÉLIO,Originária,Eletrônico,1/2/2019,"1 - Lei Estadual nº 8003 de 2018 - Lei Estadual nº 8003 de 2018, do Estado do Rio de Janeiro.",26/10/2020,Expedido(a),PLENÁRIO - COMUNICA JULGAMENTO - PRESIDENTE (ENVIO ELETRÔNICO),6/11/2020,PUBLICAÇÃO DE ACÓRDÃOS,Não,Não,Não,Não,Não,Não,Sim,DISTRITO FEDERAL,SUPREMO TRIBUNAL FEDERAL,DIREITO DO CONSUMIDOR,Em tramitação,,,,,,,,
